114			
1	24	6000	77
4	4	1000	4
1	12	3000	35
4	23	5750	58
0	3	750	4
1	13	3250	47
4	11	2750	28
9	9	2250	16
4	14	3500	40
4	6	1500	14
4	8	2000	21
1	14	3500	58
2	16	4000	64
2	5	1250	16
2	5	1250	16
2	9	2250	36
2	2	500	2
2	2	500	2
2	2	500	2
2	11	2750	46
2	6	1500	22
2	12	3000	52
2	16	4000	81
3	6	1500	21
2	7	1750	29
2	10	2500	49
3	16	4000	74
0	2	500	4
4	7	1750	25
1	9	2250	51
2	4	1000	16
2	4	1000	16
2	2	500	4
2	2	500	4
2	2	500	4
2	2	500	4
2	4	1000	16
2	4	1000	16
2	4	1000	16
2	6	1500	28
4	2	500	4
4	2	500	4
4	2	500	4
4	2	500	4
4	2	500	4
4	2	500	4
12	11	2750	23
4	7	1750	28
3	17	4250	86
4	9	2250	40
2	5	1250	26
2	5	1250	26
6	17	4250	70
0	8	2000	59
3	5	1250	26
2	3	750	14
2	10	2500	64
4	9	2250	46
4	5	1250	23
2	12	3000	82
11	24	6000	64
4	11	2750	61
1	7	1750	57
2	4	1000	26
2	5	1250	34
2	4	1000	26
4	5	1250	28
2	12	3000	95
2	2	500	10
4	6	1500	35
2	11	2750	88
2	3	750	19
2	5	1250	37
2	12	3000	98
9	5	1250	19
2	2	500	11
2	9	2250	74
5	14	3500	86
4	3	750	16
4	3	750	16
6	3	750	14
2	2	500	11
2	2	500	11
4	6	1500	39
4	11	2750	78
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
2	1	250	2
11	10	2500	35
2	3	750	22
10	4	1000	16
2	4	1000	35
4	12	3000	88
13	8	2000	26
11	9	2250	33
4	5	1250	34
4	4	1000	26
8	15	3750	77
4	7	1750	52

